epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.021,2.18303,2.76518,1.49222,0.51214,0.34974,0.35699,0.14898,2.13972,1.96569,1.43127,0.00066464,0.00066464,0.00066464
2,215.805,2.11655,1.87859,1.45743,0.54607,0.3543,0.36596,0.14922,2.17027,2.05812,1.47571,0.00119951,0.00119951,0.00119951
3,322.42,2.10505,1.78264,1.45794,0.59742,0.34574,0.38253,0.16031,2.15372,1.95179,1.47608,0.00160237,0.00160237,0.00160237
4,426.856,2.06096,1.68077,1.43192,0.65856,0.43097,0.47872,0.21024,2.04201,1.62278,1.44506,0.001406,0.001406,0.001406
5,531.163,2.00361,1.55833,1.40068,0.669,0.4517,0.51478,0.23071,1.96969,1.50517,1.36403,0.001208,0.001208,0.001208
6,636.422,1.95055,1.47074,1.3671,0.71665,0.5064,0.56496,0.25929,1.91757,1.42146,1.35016,0.00101,0.00101,0.00101
7,742.627,1.90802,1.40411,1.34406,0.72686,0.52881,0.59442,0.27838,1.89765,1.33131,1.33578,0.000812,0.000812,0.000812
8,847.091,1.8712,1.34141,1.32453,0.7387,0.54362,0.61306,0.28768,1.88252,1.27297,1.32371,0.000614,0.000614,0.000614
9,951.455,1.83303,1.27771,1.29698,0.75119,0.53862,0.61824,0.3037,1.80917,1.2463,1.271,0.000416,0.000416,0.000416
10,1055.78,1.79622,1.22343,1.27558,0.77542,0.55582,0.64007,0.31472,1.80822,1.19425,1.27443,0.000218,0.000218,0.000218
